Sequence,Level,Label,definition
863,3,Spanish fiction,"The narrative literature in Spanish consisting of invented stories and characters, primarily in the forms of novels, short stories, and novellas. This encompasses the development of Spanish prose fiction from medieval tales and picaresque novels through realist and naturalist works to modernist experimentation and contemporary narrative forms, characterized by their exploration of individual experience, social reality, historical memory, and linguistic innovation within Spanish-speaking cultures."
864,3,Spanish essays,"The non-fiction prose in Spanish that presents arguments, reflections, or analyses on various subjects in a relatively brief, discursive form. This literary form combines personal perspective with intellectual rigor to explore philosophical, cultural, political, or aesthetic topics, ranging from Renaissance humanist treatises and Enlightenment critiques to modernist meditations and contemporary cultural commentary, characterized by their stylistic elegance, rhetorical sophistication, and engagement with Spanish intellectual traditions."
865,3,Spanish speeches,"The formal oral addresses and orations delivered in Spanish, preserved as literary texts that demonstrate rhetorical artistry and persuasive power. This includes political addresses, ceremonial discourses, legal arguments, and commemorative orations that employ specific rhetorical devices, structural patterns, and linguistic strategies to influence audiences, shape public opinion, or commemorate significant events within Spanish-speaking societies throughout history."
866,3,Spanish letters,"The epistolary literature in Spanish consisting of personal or formal correspondence that has been preserved for its literary, historical, or cultural significance. This includes private letters between individuals, official diplomatic correspondence, literary exchanges between writers, and published letter collections that reveal personal relationships, intellectual debates, historical events, and social contexts while demonstrating the evolution of Spanish prose style and the art of written communication."
867,3,Spanish humor and satire,"The literary works in Spanish that employ comedy, irony, parody, or ridicule to critique human folly, social conventions, or political institutions. This includes various forms such as comic plays, satirical poetry, humorous essays, and parody novels that use wit, exaggeration, and linguistic play to entertain while exposing hypocrisy, challenging authority, or commenting on cultural norms within Spanish-speaking societies across different historical periods."
868,3,Spanish miscellaneous writings,"The diverse body of Spanish literary works that do not fit neatly into established genre categories but possess literary merit and cultural significance. This includes travel writing, diaries, memoirs, aphorisms, literary criticism, philosophical fragments, and other hybrid forms that combine elements of different genres while contributing to the broader Spanish literary tradition through their innovative approaches to language, form, and subject matter."
869,3,Literatures of Portuguese and Galician languages,"The distinct yet historically connected literary traditions of the Portuguese and Galician languages, which share linguistic roots and cultural heritage while developing separate national identities and literary canons. This encompasses the rich medieval Galician-Portuguese lyric poetry tradition, Portugal's epic literature and modernist movements, Galicia's contemporary literary renaissance, and the global expansion of Portuguese literature through Lusophone cultures, all characterized by their unique linguistic features, thematic concerns, and historical trajectories within the Iberian context."
870,2,Latin and Italic literatures,"The classical literary tradition encompassing works composed in Latin and other ancient Italic languages, representing the foundational corpus of Western literary conventions that includes poetry, drama, fiction, speeches, letters, and miscellaneous writings from the Roman Republic through the late Roman Empire, along with literary production in related Italic languages that preceded or coexisted with Latin literary development."
870,3,Latin literature and literatures of related Italic languages,"The classical literary tradition encompassing works composed in Latin and other ancient Italic languages, representing the foundational corpus of Western literary conventions that includes poetry, drama, fiction, speeches, letters, and miscellaneous writings from the Roman Republic through the late Roman Empire, along with literary production in related Italic languages that preceded or coexisted with Latin literary development."
871,3,Latin poetry,"The metrical and rhythmic composition in Latin employing formal aesthetic qualities of language, including sound, symbolism, and meter to evoke meanings beyond ordinary prose, encompassing various forms such as dramatic, epic, and lyric poetry that constitute a major portion of the classical Latin literary tradition."
872,3,Latin dramatic poetry and drama,"The literary works in Latin intended for theatrical performance or written in dramatic form, characterized by dialogue and action between characters, including both tragedies and comedies that explore human experience through structured plots and poetic language, with notable examples from Roman playwrights who adapted and transformed Greek dramatic traditions."
873,3,Latin epic poetry and fiction,"The extended narrative compositions in Latin that recount heroic deeds and significant events through elevated style and formal structure, including both verse epics that celebrate national or cultural origins and prose fiction that develops imaginative narratives, representing some of the most influential works in the Western literary canon."
874,3,Latin lyric poetry,"The personal, emotional expression in Latin verse originally intended to be sung with musical accompaniment, characterized by subjective perspective, concentrated imagery, and formal patterns that explore individual experience, emotions, and reflections on life, love, and mortality."
875,3,Latin speeches,"The formal oral addresses and rhetorical compositions in Latin designed for public delivery, employing persuasive techniques, logical argumentation, and stylistic devices to influence audiences in political, legal, and ceremonial contexts, representing a crucial aspect of Roman civic life and oratorical tradition."
876,3,Latin letters,"The written correspondence and epistolary literature in Latin that documents personal, political, and philosophical communication between individuals, ranging from private exchanges to literary compositions intended for publication, providing insight into Roman social relations, intellectual discourse, and daily life."
877,3,Latin humor and satire,"The literary works in Latin that employ wit, irony, exaggeration, or ridicule to critique human vices, follies, and social conventions, using humor as a vehicle for moral and social commentary through various satirical forms that expose the absurdities of Roman society and human nature."
878,3,Latin miscellaneous writings,"The diverse Latin literary works that do not fit neatly into established poetic or prose genres, including technical treatises, philosophical dialogues, historical accounts, educational texts, and other specialized compositions that contribute to the broader Latin literary tradition through their unique forms and purposes."
879,3,Literatures of other Italic languages,"The literary productions in ancient Italic languages other than Latin, including Oscan, Umbrian, Faliscan, and other related languages that preceded or coexisted with Latin literary development, representing the cultural and linguistic diversity of pre-Roman Italy through surviving inscriptions, religious texts, and other written materials."
880,2,Classical and modern Greek literatures,"The literary continuum spanning ancient Greek works and their modern Greek successors, encompassing the foundational classical Greek literary forms including poetry (epic, dramatic, lyric), drama, fiction, speeches, letters, and miscellaneous writings that established Western literary traditions, along with the ongoing development of literary expression in Modern Greek that maintains linguistic and cultural continuity with its classical antecedents."
880,3,Classical Greek literature and literatures of related Hellenic languages,"The literary continuum spanning ancient Greek works and their modern Greek successors, encompassing the foundational classical Greek literary forms including poetry (epic, dramatic, lyric), drama, fiction, speeches, letters, and miscellaneous writings that established Western literary traditions, along with the ongoing development of literary expression in Modern Greek that maintains linguistic and cultural continuity with its classical antecedents."
881,3,Classical Greek poetry,"The metrical and rhythmic literary compositions of ancient Greece, characterized by structured verse forms and oral performance traditions, encompassing epic narratives, dramatic choruses, and personal lyric expressions that served religious, civic, and artistic functions within Greek society."
882,3,Classical Greek drama,"The performative literary genre originating in ancient Greek religious festivals, consisting primarily of tragedy and comedy presented in theatrical competitions, featuring masked actors, choral odes, and structured dialogue that explored human suffering, moral dilemmas, and social commentary through mythological and contemporary themes."
883,3,Classical Greek epic poetry and fiction,"The narrative literary forms of ancient Greece comprising extended heroic poems recounting legendary events and foundational myths, characterized by elevated style, formulaic language, and divine intervention, alongside early prose fiction that developed imaginative storytelling beyond historical chronicles."
884,3,Classical Greek lyric poetry,"The personal poetic expressions of ancient Greece originally accompanied by musical instruments, characterized by shorter forms than epic poetry and focusing on individual emotions, love, politics, and daily life, composed in various meters for solo or choral performance at symposia and public occasions."
885,3,Classical Greek speeches,"The formal oral discourses of ancient Greece developed for judicial, political, and ceremonial purposes, characterized by structured argumentation, rhetorical devices, and persuasive techniques that established foundational principles of oratory and public address in Western tradition."
886,3,Classical Greek letters,"The epistolary writings of ancient Greece comprising personal correspondence, philosophical treatises in letter form, and official communications that reveal private thoughts, intellectual exchanges, and administrative matters while establishing literary conventions for the genre."
887,3,Classical Greek humor and satire,"The comic literary expressions of ancient Greece employing wit, irony, parody, and exaggeration to critique social norms, political figures, and human foibles, primarily manifested in Old Comedy's theatrical absurdities and later in philosophical dialogues and prose works."
888,3,Classical Greek miscellaneous writings,"The diverse prose works of ancient Greece not classified under major literary genres, including historical accounts, philosophical fragments, technical manuals, travelogues, and collections of maxims that document Greek thought, knowledge, and daily practices beyond formal literary production."
889,3,Modern Greek literature,"The literary production in the Greek language from the late Byzantine period to the present, maintaining linguistic continuity with classical Greek while developing distinct forms, themes, and styles that reflect historical transformations including Ottoman rule, national independence, and contemporary European influences."
890,2,Other literatures,"The comprehensive collection and study of literary traditions from languages and language families not encompassed by major Western literary categories, including East Indo-European and Celtic literatures, Afro-Asiatic literatures (both Semitic and non-Semitic), Altaic, Uralic, Hyperborean, and Dravidian language literatures, East and Southeast Asian literatures, African literatures, indigenous North and South American language literatures, and Oceanic language literatures encompassing both Austronesian and non-Austronesian traditions."
890,3,Literatures of other specific languages and language families,"The comprehensive collection and study of literary traditions from languages and language families not encompassed by major Western literary categories, including East Indo-European and Celtic literatures, Afro-Asiatic literatures (both Semitic and non-Semitic), Altaic, Uralic, Hyperborean, and Dravidian language literatures, East and Southeast Asian literatures, African literatures, indigenous North and South American language literatures, and Oceanic language literatures encompassing both Austronesian and non-Austronesian traditions."
891,3,East Indo-European and Celtic literatures,"The body of literary works and traditions originating from the East Indo-European and Celtic language families, which include languages such as Armenian, Albanian, and the various Celtic tongues like Irish, Scottish Gaelic, Welsh, and Breton, characterized by their distinct historical development, mythological cycles, and poetic forms separate from the dominant Western European literary traditions."
892,3,Afro-Asiatic literatures,"The literary corpus and traditions stemming from the Afro-Asiatic language family, which encompasses both Semitic languages (such as Arabic, Hebrew, and Aramaic) and non-Semitic branches (including Berber, Chadic, Cushitic, and Omotic), reflecting the diverse cultural, historical, and linguistic heritage of North Africa, the Horn of Africa, and parts of the Middle East."
893,3,Non-Semitic Afro-Asiatic literatures,"The literary expressions and oral traditions associated with the non-Semitic branches of the Afro-Asiatic language family, specifically including Berber, Chadic, Cushitic, and Omotic languages, which represent the indigenous literary heritage of regions across North and East Africa, distinct from the Semitic literary traditions of the same language family."
894,3,"Literatures of Altaic, Uralic, Hyperborean, Dravidian languages; literatures of miscellaneous languages of South Asia","The collective literary traditions of the Altaic (including Turkic, Mongolic, and Tungusic languages), Uralic (such as Finnish, Hungarian, and Estonian), Hyperborean (or Paleosiberian languages), and Dravidian language families, along with the literatures of various other language groups indigenous to South Asia, representing a vast array of linguistic and cultural systems across Eurasia and the Indian subcontinent."
895,3,Literatures of East and Southeast Asia,"The rich and diverse literary heritage originating from the languages and cultures of East Asia (including Chinese, Japanese, and Korean) and Southeast Asia (encompassing languages such as Thai, Vietnamese, Burmese, and the many languages of the Indonesian and Philippine archipelagos), characterized by unique writing systems, classical canons, and narrative traditions that have evolved over millennia."
896,3,African literatures,"The totality of literary production from the African continent, encompassing both written and oral traditions in indigenous African languages as well as works in European languages, reflecting the continent's immense linguistic diversity, historical experiences, cultural practices, and contemporary social realities across its various regions and peoples."
897,3,Literatures of North American native languages,"The body of oral and written literary expressions in the indigenous languages of North America, including those from language families such as Algonquian, Iroquoian, Siouan, Athabaskan, and many others, which preserve the cultural knowledge, historical narratives, and spiritual beliefs of Native American, First Nations, and Inuit peoples."
898,3,Literatures of South American native languages,"The literary and oral traditions in the indigenous languages of South America, spanning language families like Quechuan, Aymaran, Tupian, Macro-Jê, and numerous smaller language isolates, which document the diverse cultural heritage, mythological systems, and historical experiences of the continent's native peoples from the Andes to the Amazon and beyond."
899,3,"Literatures of non-Austronesian languages of Oceania, of Austronesian languages, of miscellaneous languages","The literary traditions associated with the non-Austronesian languages of Oceania (such as Papuan languages), the Austronesian languages (including Polynesian, Micronesian, and Melanesian languages), and various other miscellaneous language groups in the region, representing the cultural expressions of Pacific Island peoples across thousands of islands, from oral epics and chants to contemporary written works."
900,1,History and geography,"The comprehensive interdisciplinary field encompassing the systematic study of past human events, societies, and civilizations through documented evidence, along with the examination of Earth's physical features, human-environment interactions, and the supporting methodological tools and approaches that facilitate historical and geographical research and understanding."
900,2,History,"The comprehensive interdisciplinary field encompassing the systematic study of past human events, societies, and civilizations through documented evidence, along with the examination of Earth's physical features, human-environment interactions, and the supporting methodological tools and approaches that facilitate historical and geographical research and understanding."
900,3,"History, geography, and auxiliary disciplines","The comprehensive interdisciplinary field encompassing the systematic study of past human events, societies, and civilizations through documented evidence, along with the examination of Earth's physical features, human-environment interactions, and the supporting methodological tools and approaches that facilitate historical and geographical research and understanding."
901,3,Philosophy and theory of history,"The branch of philosophical inquiry concerned with the fundamental nature, meaning, and interpretation of historical knowledge, examining questions about historical causation, objectivity, periodization, historical truth, and the relationship between historical events and broader patterns of human development."
902,3,Miscellany of history,"A collection of diverse historical materials, documents, and writings that do not fit neatly into specialized historical categories, often including anecdotal accounts, personal narratives, unusual historical phenomena, and various historical curiosities that provide supplementary insights into past human experiences."
903,3,"Dictionaries, encyclopedias, concordances of history","Reference works specifically designed to organize and present historical information systematically, including alphabetical listings of historical terms and concepts, comprehensive surveys of historical knowledge, and tools for locating specific words or passages within historical texts to facilitate research and understanding."
904,3,Collected accounts of events,"Compilations of historical narratives, eyewitness reports, and documentary evidence organized around specific occurrences or series of events, providing multiple perspectives and comprehensive documentation that allows for comparative analysis and deeper understanding of historical happenings."
905,3,Serial publications of history,"Periodically issued historical works including journals, annuals, and continuing series that present ongoing historical research, current scholarship, and regular updates to historical knowledge through peer-reviewed articles, conference proceedings, and systematic documentation of historical developments."
906,3,Organizations and management of history,"The institutional structures, professional associations, and administrative frameworks that support historical work, including historical societies, archives, museums, and the systems for preserving, organizing, and making historical materials accessible to researchers and the public."
907,3,"Education, research, related topics of history","The pedagogical methods, academic training, and investigative practices involved in teaching historical knowledge and conducting historical inquiry, encompassing curriculum development, historical methodology instruction, research techniques, and the dissemination of historical understanding through educational institutions."
908,3,History with respect to groups of people,"The examination of historical developments through the lens of specific social, ethnic, cultural, or demographic collectives, focusing on how particular communities, populations, or social categories have experienced, shaped, and been affected by historical processes and events."
909,3,World history,"The study of historical processes, interactions, and developments on a global scale, emphasizing connections, comparisons, and patterns across different civilizations and regions while examining how local histories intersect with broader transnational and intercontinental movements and transformations."
910,2,Geography and travel,"The interdisciplinary field that combines the scientific study of Earth's physical features, environments, and spatial relationships between places with the documentation and analysis of human movement, exploration, and experiences across different regions and landscapes, encompassing both systematic geographical inquiry and descriptive accounts of journeys."
910,3,Geography and travel,"The interdisciplinary field that combines the scientific study of Earth's physical features, environments, and spatial relationships between places with the documentation and analysis of human movement, exploration, and experiences across different regions and landscapes, encompassing both systematic geographical inquiry and descriptive accounts of journeys."
911,3,Historical geography,"The study of how geographical phenomena, landscapes, and spatial patterns have changed over time, examining the evolution of human-environment relationships, settlement patterns, territorial boundaries, and cultural landscapes through historical periods, often using archival sources and historical methods alongside geographical analysis."
912,3,Graphic representations of surface of Earth and of extraterrestrial worlds,"The creation, interpretation, and study of visual depictions of terrestrial and celestial surfaces, including maps, charts, atlases, globes, and digital cartographic products that represent physical features, political boundaries, and spatial relationships, extending to representations of other planetary bodies and celestial objects."
913,3,Geography of and travel in the ancient world,"The examination of geographical knowledge, spatial understanding, and travel practices in ancient civilizations, encompassing the study of ancient cartography, exploration narratives, trade routes, settlement patterns, and geographical conceptions from prehistoric times through classical antiquity, typically ending with the fall of the Western Roman Empire."
914,3,Geography of and travel in Europe,"The systematic study of Europe's physical geography, human geography, and regional characteristics combined with accounts and analysis of travel experiences, exploration, and movement within the European continent, including its diverse landscapes, cultural regions, political divisions, and transportation networks."
915,3,Geography of and travel in Asia,"The comprehensive investigation of Asia's geographical features, environmental systems, and human landscapes alongside documentation of travel experiences, exploration history, and movement patterns across the world's largest continent, encompassing its immense physical diversity, numerous cultural regions, and complex political geography."
916,3,Geography of and travel in Africa,"The study of Africa's physical environments, climatic zones, and human geographical patterns combined with accounts of travel, exploration, and mobility across the continent, addressing its diverse ecosystems, cultural landscapes, historical trade routes, and contemporary spatial dynamics."
917,3,Geography of and travel in North America,"The examination of North America's geographical characteristics, including its physical landscapes, environmental regions, and human settlement patterns, together with documentation of travel experiences, exploration history, and movement within the continent comprising Canada, the United States, Mexico, and associated territories."
918,3,Geography of and travel in South America,"The investigation of South America's geographical attributes, from the Andes Mountains and Amazon Basin to its coastal regions and cultural landscapes, combined with accounts of travel, exploration, and mobility across the continent's diverse nations and territories."
919,3,"Geography of and travel in Australasia, Pacific Ocean islands, Atlantic Ocean islands, Arctic islands, Antarctica, and on extraterrestrial worlds","The study of geographical features and travel experiences in oceanic regions and extreme environments, encompassing Australasia (Australia, New Zealand, and neighboring islands), the vast Pacific and Atlantic island groups, Arctic archipelagos, the Antarctic continent, and extending to geographical considerations of other planetary bodies and celestial objects beyond Earth."
920,2,Biography and genealogy,"The comprehensive scholarly discipline that systematically documents and analyzes individual lives, family lineages, and symbolic representations through historical records and research methodologies, encompassing both biographical narratives of notable figures and the systematic study of familial descent and heraldic symbols."
920,3,"Biography, genealogy, insignia","The comprehensive scholarly discipline that systematically documents and analyzes individual lives, family lineages, and symbolic representations through historical records and research methodologies, encompassing both biographical narratives of notable figures and the systematic study of familial descent and heraldic symbols."
929,3,"Genealogy, names, insignia","The systematic investigation and documentation of familial relationships, naming conventions, and heraldic symbols through historical records and archival research, focusing specifically on lineage tracing, onomastic studies, and the interpretation of coats of arms and other hereditary emblems."
930,2,History of ancient world (to c. 499),"The historical study of human civilizations and societies from prehistoric times through approximately 499 CE, encompassing the development of early cultures, empires, and foundational institutions across global regions before the medieval period, including the rise and fall of major powers, technological innovations, cultural exchanges, and the establishment of political, religious, and social systems that shaped subsequent world history."
930,3,History of ancient world to c. 499,"The historical study of human civilizations and societies from prehistoric times through approximately 499 CE, encompassing the development of early cultures, empires, and foundational institutions across global regions before the medieval period, including the rise and fall of major powers, technological innovations, cultural exchanges, and the establishment of political, religious, and social systems that shaped subsequent world history."
931,3,China to 420,"The historical study of Chinese civilization from its earliest archaeological evidence through the end of the Eastern Jin Dynasty in 420 CE, encompassing the development of dynastic rule from the Xia, Shang, and Zhou periods through the Qin unification, Han Empire expansion, and subsequent periods of division, including cultural achievements in philosophy, literature, technology, and governance systems that established enduring patterns in East Asian history."
932,3,Egypt to 640,"The historical study of Egyptian civilization from prehistoric settlements through the Arab conquest in 640 CE, encompassing the development of pharaonic dynasties from the Early Dynastic Period through the Old, Middle, and New Kingdoms, Ptolemaic rule, and Roman provincial administration, including monumental architecture, religious systems, writing development, and the cultural transformations that occurred through successive foreign influences while maintaining distinctive Egyptian characteristics."
933,3,Palestine to 70,"The historical study of the region of Palestine from earliest settlements through the destruction of the Second Temple in 70 CE, encompassing the development of Canaanite city-states, Israelite kingdoms, Babylonian exile, Persian provincial administration, Hellenistic rule under the Seleucids, Hasmonean independence, and Roman incorporation, including the emergence of Judaism as a major religious tradition and the region's strategic importance in ancient Near Eastern geopolitics."
934,3,South Asia to 647,"The historical study of South Asian civilizations from the Indus Valley Civilization through the end of Harsha's empire in 647 CE, encompassing the development of Vedic culture, Mauryan and Gupta empires, regional kingdoms, and early medieval states, including the evolution of Hinduism, Buddhism, and Jainism, advancements in mathematics and astronomy, and the establishment of social structures and trade networks that defined the Indian subcontinent's cultural landscape."
935,3,Mesopotamia and Iranian Plateau to 637,"The historical study of civilizations in Mesopotamia and the Iranian Plateau from the emergence of Sumerian city-states through the Arab conquest in 637 CE, encompassing the development of Babylonian, Assyrian, and Persian empires, Parthian and Sassanian dynasties, and the cultural interactions between these regions, including innovations in writing, law, administration, and religious traditions that profoundly influenced the ancient Near East and beyond."
936,3,Europe north and west of Italian Peninsula to c. 499,"The historical study of European regions north and west of the Italian Peninsula from prehistoric times through approximately 499 CE, encompassing the development of Celtic, Germanic, and other indigenous cultures, Roman provincial administration in Gaul, Britain, and Hispania, and the transition to post-Roman kingdoms, including migration patterns, cultural adaptations to Roman influence, and the formation of early medieval societies that would shape Western European history."
937,3,Italy and adjacent territories to 476,"The historical study of the Italian Peninsula and surrounding regions from earliest settlements through the deposition of the last Western Roman Emperor in 476 CE, encompassing the development of Etruscan civilization, Roman Republic expansion, Imperial administration, and the transition to Ostrogothic rule, including the political institutions, legal systems, engineering achievements, and cultural synthesis that made Rome the dominant Mediterranean power for centuries."
938,3,Greece to 323,"The historical study of Greek civilization from the Bronze Age through the death of Alexander the Great in 323 BCE, encompassing the development of Minoan and Mycenaean cultures, the emergence of city-states (poleis), Persian Wars, Peloponnesian War, and Macedonian expansion, including foundational contributions to philosophy, democracy, drama, historiography, and art that established enduring intellectual and cultural traditions in Western civilization."
939,3,Other parts of ancient world,"The historical study of ancient civilizations and societies not covered by the specific regional categories, encompassing the development of cultures across Africa beyond Egypt, the Americas before European contact, Central Asia, Southeast Asia, and Oceania during the ancient period, including diverse political organizations, technological adaptations, trade networks, and cultural achievements that represent the global breadth of human development before approximately 500 CE."
940,2,History of Europe,"The comprehensive historical examination of European societies, nations, and civilizations from ancient times through contemporary periods, analyzing political developments, cultural transformations, and continental interactions within the European context as a unified whole."
940,3,History of Europe,"The comprehensive historical examination of European societies, nations, and civilizations from ancient times through contemporary periods, analyzing political developments, cultural transformations, and continental interactions within the European context as a unified whole."
941,3,British Isles,"The historical study of the archipelago comprising Great Britain, Ireland, and numerous smaller islands, examining their shared and divergent historical trajectories, cultural exchanges, and political relationships from prehistoric settlements through modern nation-state formations."
942,3,England and Wales,"The historical investigation of these two constituent countries of the United Kingdom, focusing on their political union since the 16th century, distinct legal systems, cultural developments, and shared governance while maintaining separate identities within the British constitutional framework."
943,3,Germany and neighboring central European countries,"The historical analysis of German-speaking territories and adjacent Central European regions, examining the Holy Roman Empire's legacy, German unification processes, and the complex political, cultural, and economic relationships with neighboring states throughout European history."
944,3,France and Monaco,"The historical study of France as a major European power and its unique relationship with the Principality of Monaco, encompassing French political centralization, revolutionary traditions, colonial expansion, and Monaco's special status as a sovereign city-state under French protection."
945,3,"Italy, San Marino, Vatican City, Malta","The historical examination of the Italian peninsula's diverse political entities including the Italian nation-state, the Republic of San Marino as Europe's oldest surviving sovereign state, Vatican City as the ecclesiastical center of Catholicism, and Malta's distinct Mediterranean cultural and strategic position."
946,3,"Spain, Andorra, Gibraltar, Portugal","The historical investigation of the Iberian Peninsula's political entities, encompassing Spain's formation through medieval kingdoms, Portugal's distinct national development, Andorra's unique co-principality status, and Gibraltar's strategic importance as a British Overseas Territory with contested sovereignty."
947,3,Russia and neighboring east European countries,"The historical analysis of Russia's development as a major Eurasian power and its complex relationships with neighboring Eastern European states, examining imperial expansion, Soviet influence, and the post-communist transformations within this geographically and politically diverse region."
948,3,Scandinavia,"The historical study of the Nordic countries including Denmark, Norway, and Sweden, examining their Viking heritage, medieval kingdoms, political unions, and modern welfare states, with particular attention to their shared cultural characteristics and distinct national developments."
949,3,Other parts of Europe,"The historical examination of European regions and countries not specifically categorized elsewhere, including the Benelux nations, Alpine states, Balkan countries, and Baltic states, analyzing their unique historical trajectories, cultural diversity, and geopolitical positions within the broader European context."
950,2,History of Asia,"The comprehensive historical investigation of Asian civilizations, empires, and societies across the continent's diverse regions, tracing cultural developments, political systems, and regional interactions from ancient times to the modern era, encompassing all major geographical and cultural subdivisions of the Asian continent."
950,3,History of Asia,"The comprehensive historical investigation of Asian civilizations, empires, and societies across the continent's diverse regions, tracing cultural developments, political systems, and regional interactions from ancient times to the modern era, encompassing all major geographical and cultural subdivisions of the Asian continent."
951,3,China and adjacent areas,"The historical study of Chinese civilization and its neighboring regions, including the development of dynastic systems, philosophical traditions, technological innovations, and cultural exchanges across East Asia, with particular focus on the Sinosphere's influence and interactions with bordering territories."
952,3,Japan,"The historical examination of Japanese civilization from prehistoric Jōmon culture through imperial periods, feudal shogunates, modernization during the Meiji Restoration, and contemporary developments, emphasizing unique cultural synthesis, political evolution, and regional dynamics within the Japanese archipelago."
953,3,Arabian Peninsula and adjacent areas,"The historical investigation of societies and civilizations on the Arabian Peninsula and surrounding regions, including pre-Islamic cultures, the rise and expansion of Islam, Bedouin traditions, trade networks, and the development of Arab states and cultural identities in this geographically distinct area."
954,3,India and neighboring south Asian countries,"The historical study of the Indian subcontinent and adjacent South Asian regions, encompassing ancient Indus Valley civilizations, Vedic traditions, classical empires, religious developments including Hinduism, Buddhism, and Islam, colonial experiences, and post-independence nation-building across diverse cultural landscapes."
955,3,Iran,"The historical examination of Iranian civilization from ancient Elamite and Persian empires through Islamic conquests, Safavid and Qajar dynasties, to modern nation-state formation, focusing on Persian cultural continuity, linguistic traditions, geopolitical significance, and interactions between Zoroastrian, Islamic, and modern influences."
956,3,Middle East (near East),"The historical investigation of civilizations in the broader Middle Eastern region, including Mesopotamia, the Levant, Anatolia, and Egypt, tracing the development of early urban centers, major world religions, imperial conflicts, and modern state formation in this crossroads region connecting Asia, Africa, and Europe."
957,3,Siberia (Asiatic Russia),"The historical study of the vast Siberian region within Asiatic Russia, encompassing indigenous peoples' cultures, Russian expansion and colonization, resource exploitation, penal systems, and the development of this northern territory's unique environmental and geopolitical characteristics within the Russian state."
958,3,Central Asia,"The historical examination of the Central Asian heartland, including steppe nomad civilizations, Silk Road trade networks, Turkic and Mongol empires, Russian and Soviet influence, and post-Soviet state formation, focusing on this region's role as a cultural crossroads between East Asia, South Asia, and the Middle East."
959,3,Southeast Asia,"The historical investigation of mainland and maritime Southeast Asian societies, including early kingdoms like Srivijaya and Angkor, Indian and Chinese cultural influences, colonial experiences under various European powers, and post-colonial development across this diverse region characterized by tropical environments and complex ethnic compositions."
960,2,History of Africa,"The comprehensive historical study of African societies, kingdoms, and civilizations across the continent's diverse regions, examining indigenous developments, cultural traditions, and external interactions throughout different historical periods from prehistory to contemporary times."
960,3,History of Africa,"The comprehensive historical study of African societies, kingdoms, and civilizations across the continent's diverse regions, examining indigenous developments, cultural traditions, and external interactions throughout different historical periods from prehistory to contemporary times."
961,3,Tunisia and Libya,"The historical study of the Maghreb region's eastern territories, encompassing the development of ancient Carthaginian civilization, Roman and Byzantine rule, Arab-Islamic conquests, Ottoman administration, and modern nation-state formation in these North African countries."
962,3,"Egypt, Sudan, South Sudan","The historical examination of the Nile Valley civilizations, spanning from ancient Egyptian kingdoms and Nubian cultures through Christian Nubia, Arab-Islamic expansion, Ottoman-Egyptian rule, British colonial administration, and post-independence developments in these interconnected Northeast African states."
963,3,Ethiopia and Eritrea,"The historical investigation of the Horn of Africa's highland civilizations, including the Aksumite Empire, medieval Ethiopian kingdoms, Italian colonial encounters, federation and conflict periods, and the distinct yet interconnected national trajectories of these East African nations."
964,3,"Morocco, Ceuta, Melilla, Western Sahara, Canary Islands","The historical analysis of the western Maghreb and adjacent territories, covering indigenous Berber kingdoms, Islamic dynasties like the Almoravids and Almohads, European colonial enclaves, Spanish possessions, and complex sovereignty disputes in this strategically significant region."
965,3,Algeria,"The historical exploration of North Africa's largest country, tracing Numidian kingdoms, Roman province development, Arab-Berber dynasties, Ottoman regency, French colonial occupation, revolutionary war for independence, and post-colonial nation-building in this Mediterranean and Saharan territory."
966,3,West Africa and offshore islands,"The historical study of societies from Senegal to Nigeria and associated Atlantic islands, encompassing ancient Ghana and Mali empires, trans-Saharan trade networks, Islamic scholarship centers, European coastal trade posts, colonial partition, and diverse post-independence political trajectories in this culturally rich region."
967,3,Central Africa and offshore islands,"The historical examination of the Congo Basin and surrounding territories including Gulf of Guinea islands, investigating Bantu migrations, kingdom formations like Kongo and Luba, European exploration and colonization, resource extraction economies, and contemporary challenges in this equatorial heartland of Africa."
968,3,South Africa and southern Africa,"The historical analysis of the region from the Cape to the Zambezi, covering indigenous Khoisan and Bantu-speaking societies, Dutch and British colonization, mineral revolution industrialization, apartheid system implementation and dismantling, and post-apartheid transformation in this economically significant area."
969,3,South Indian Ocean islands,"The historical investigation of African-associated islands in the southwestern Indian Ocean, including Madagascar, Comoros, Mauritius, Réunion, and Seychelles, examining Austronesian settlement, Arab trade networks, European colonial competition, plantation economies, creole cultures, and post-colonial developments in these geographically isolated yet historically connected territories."
970,2,History of North America,"The comprehensive historical analysis of societies and civilizations across the North American continent, encompassing indigenous cultures, colonial developments, and national formations from pre-Columbian times to the present, with particular focus on Canada, the United States, Mexico, and Caribbean regions."
970,3,History of North America,"The comprehensive historical analysis of societies and civilizations across the North American continent, encompassing indigenous cultures, colonial developments, and national formations from pre-Columbian times to the present, with particular focus on Canada, the United States, Mexico, and Caribbean regions."
971,3,Canada,"The historical study of the second-largest country in the world by land area, tracing its development from Indigenous civilizations through French and British colonial periods to Confederation in 1867 and subsequent evolution as a federal parliamentary democracy and constitutional monarchy, with distinct regional histories including Quebec, Ontario, the Prairie provinces, and the Atlantic provinces."
