sentence,entities
"'' Too Many Hands '' ( Randy Meisner , Don Felder ) â 4:43","[['Randy Meisner', (2353, 2354), 'PER'], ['Don Felder', (2356, 2357), 'PER']]"
"Masonic Temple Building ( Maywood , Illinois )",[]
Shake ( company ),[]
"He ultimately returned to the Boston Globe '' , where he had been working immediately before the ''Tribune '' had hired him .","[['Boston Globe', (2378, 2379), 'ORG']]"
The numerator and denominator normally consist of a Fibonacci number and its second successor .,"[['Fibonacci number', (2404, 2405), 'ORG']]"
"National Register of Historic Places listings in Anchorage , Alaska",[]
In 1976 he joined his brother at Leicester Lions where he spent two seasons .,"[['Leicester Lions', (2428, 2429), 'ORG']]"
'' Psolos fuligo fuligo '' â '' 'Coon '' ',"[['Psolos fuligo fuligo', (2437, 2439), 'LOC']]"
Sid Wilson ( 0 ),"[['Sid Wilson', (2446, 2447), 'PER']]"
"Jan Niklas , DÃ©sirÃ©e Nosbusch","[['Jan Niklas', (2451, 2452), 'PER']]"
"** Trail of Tears , 1830â1838","[['Trail of Tears', (2457, 2459), 'LOC']]"
Anders Nilsen Wiborg,[]
United States Department of Labor,[]
"Jared Dudley , Emeka Okafor , Jason Richardson ( 9 )","[['Jared Dudley', (2470, 2471), 'PER'], ['Emeka Okafor', (2473, 2474), 'PER'], ['Jason Richardson', (2476, 2477), 'PER']]"
"The first 3 songs as PopCrush 97.1 were Pitbull / Christina Aguilera 's Feel This Moment '' , Justin Timberlake 's Mirrors '' , and Rihanna 's Umbrella '' .","[['Pitbull', (2489, 2489), 'PER'], ['Christina Aguilera', (2491, 2492), 'PER'], ['Feel This Moment', (2494, 2496), 'ORG'], ['Justin Timberlake', (2499, 2500), 'PER'], ['Mirrors', (2502, 2502), 'ORG'], ['Rihanna', (2506, 2506), 'PER'], ['Umbrella', (2508, 2508), 'ORG']]"
TomÃ¡Å¡ Å mÃ­d '' ( Third Round ),"[['TomÃ¡Å¡ Å\xa0mÃ\xadd', (2511, 2512), 'PER']]"
Chip Robinson ( 1986 ),"[['Chip Robinson', (2518, 2519), 'PER']]"
"St. Paisius Serbian Orthodox Monastery , Safford , Arizona .","[['St. Paisius Serbian Orthodox Monastery', (2523, 2527), 'ORG'], ['Safford , Arizona', (2529, 2531), 'LOC']]"
"** ' '' Nanhai '' ' â Liu Yin , King of Nanhai ( 907â911 )","[['Nanhai', (2536, 2536), 'ORG'], ['Liu Yin', (2540, 2541), 'PER'], ['King of Nanhai', (2543, 2545), 'ORG']]"
Siege of Naples ( 542â43 ),[]
"Clarence Tommerson , NFL player","[['Clarence Tommerson', (2555, 2556), 'PER'], ['NFL', (2558, 2558), 'ORG']]"
Naco-Mammoth Kill Site,[]
' '' Angiosperms '' ',"[['Angiosperms', (2565, 2565), 'ORG']]"
Communes of the Somme department,[]
Magnificent snake eel,[]
Francisco MenÃ©ndez MÃ¡rquez,[]
"Beecher , Michigan â $ 13,484","[['Beecher , Michigan', (2579, 2581), 'LOC']]"
"After a large and well attended funeral , he was interred in Green Lawn Cemetery .","[['Green Lawn Cemetery', (2597, 2599), 'LOC']]"
List of Indonesian birds : non-passerines,[]
"Stade du 28 Septembre , Conakry","[['Stade du 28 Septembre', (2607, 2610), 'LOC']]"
' '' Gujranwala '' ',"[['Gujranwala', (2615, 2615), 'LOC']]"
Musa Haji Ismail Galal,[]
The song is included in the album Yanni Voces '' .,"[['Yanni Voces', (2629, 2630), 'ORG']]"
K. M. Seethi,[]
"East Chicago , Indiana",[]
"Somerset ( town ) , Wisconsin",[]
"Mark Bonham Carter , Baron Bonham-Carter",[]
' '' Mika HÃ¤kkinen '' ',"[['Mika HÃ¤kkinen', (2654, 2655), 'PER']]"
"WTUA St. Stephen , South Carolina","[['WTUA', (2658, 2658), 'ORG']]"
' '' Kolkata '' ',"[['Kolkata', (2666, 2666), 'LOC']]"
"Taebong has been overthrown , and Goryeo established in the Korean peninsula , when Wang Kon ascends the throne at Cheorwon .","[['Taebong', (2669, 2669), 'ORG'], ['Goryeo', (2675, 2675), 'ORG'], ['Korean peninsula', (2679, 2680), 'ORG'], ['Wang Kon', (2683, 2684), 'ORG'], ['Cheorwon', (2689, 2689), 'LOC']]"
Sergey Shoygu ( 2012 ),"[['Sergey Shoygu', (2691, 2692), 'PER']]"
"Tatem Elementary School , Collingswood , NJ",[]
Flick of the Switch '',"[['Flick of the Switch', (2703, 2706), 'ORG']]"
O. L. Owen ( 1898 ),"[['O. L. Owen', (2708, 2710), 'PER']]"
"1911 Yeon Building , Portland , Oregon","[['Yeon Building', (2715, 2716), 'ORG']]"
`` O Come All Ye Faithful '',"[['O Come All Ye Faithful', (2722, 2726), 'ORG']]"
Conejo Valley Unified School District,[]
"Dick 's Sporting Goods ( 80,000 ftÂ² )","[[""Dick 's Sporting Goods"", (2733, 2736), 'ORG']]"
'' Acianthera rostellata '' ( Barb.Rodr .,"[['Acianthera rostellata', (2742, 2743), 'LOC']]"
"Calhoun City , Mississippi",[]
Rockhead ( fish ),[]
"Cedar Lawn Cemetery , Paterson , New Jersey",[]
'' CONCACAF Champions ' Cup : ' '',"[[""CONCACAF Champions ' Cup"", (2765, 2768), 'ORG']]"
It was described by Breuning in 1939 .,"[['Breuning', (2776, 2776), 'PER']]"
Pontianak ( folklore ),[]
"Myrtle Beach , United States","[['Myrtle Beach', (2784, 2785), 'ORG']]"
"Tremoschna : TÅemoÅ¡nÃ¡ B,60","[['TÅ\x99emoÅ¡nÃ¡', (2791, 2791), 'LOC']]"
How to Save a Life '',"[['How to Save a Life', (2793, 2797), 'ORG']]"
"Parken , Copenhagen ( H )","[['Parken', (2799, 2799), 'ORG'], ['Copenhagen', (2801, 2801), 'LOC']]"
"Tenerife , Canary Islands , Spain","[['Tenerife', (2805, 2805), 'LOC'], ['Canary Islands', (2807, 2808), 'LOC']]"
Sui Wenjing / Han Cong,"[['Sui Wenjing', (2811, 2812), 'PER']]"
"Now under control of 482nd Fighter Wing ( Air Force Reserve Command ) and Detachment 1 , 125th Fighter Wing ( Florida Air National Guard )","[['482nd Fighter Wing', (2820, 2822), 'ORG'], ['Air Force Reserve Command', (2824, 2827), 'ORG'], ['125th Fighter Wing', (2833, 2835), 'ORG'], ['Florida Air National Guard', (2837, 2840), 'ORG']]"
×Ö¶×ª ×Ö¶×Ö°×¨×Ö¹× ×Ö°×Ö¶×ª ×Ö´×Ö°×¨Ö¸×©Ö¶××Ö¸ Hebron and its periphery,"[['Hebron', (2846, 2846), 'LOC']]"
Voznesensk ( ÐÐ¾Ð·Ð½ÐµÑÐµÐ½ÑÑÐºÐ¸Ð¹ ÑÐ°Ð¹Ð¾Ð½ ),"[['Voznesensk', (2850, 2850), 'LOC']]"
Chimneys of Poolbeg Generating Station,[]
This Hour Has 22 Minutes '' cast,"[['This Hour Has 22 Minutes', (2860, 2864), 'ORG']]"
' '' Lucas Arnold Ker '' ' ' '' SebastiÃ¡n Prieto '' ',"[['Lucas Arnold Ker', (2869, 2871), 'PER'], ['SebastiÃ¡n Prieto', (2876, 2877), 'PER']]"
Bernhard Warkentin Homestead,[]
"She currently lives in Los Angeles , California .","[['Los Angeles', (2887, 2888), 'LOC'], ['California', (2890, 2890), 'LOC']]"
Same applied to Polish Americans .,"[['Polish Americans', (2895, 2896), 'ORG']]"
It was discovered in Oxyrhynchus .,"[['Oxyrhynchus', (2902, 2902), 'LOC']]"
Princess ClÃ©mentine of Belgium,[]
Andrex ( actor ),[]
Martin Sheen - The West Wing '',"[['Martin Sheen', (2912, 2913), 'PER'], ['The West Wing', (2915, 2917), 'ORG']]"
`` U Got It Bad '',"[['U Got It Bad', (2920, 2923), 'ORG']]"
Hanningfield Reservoir completed in 1957,"[['Hanningfield Reservoir', (2925, 2926), 'LOC']]"
' '' Ruanda-Urundi '' ',"[['Ruanda-Urundi', (2932, 2932), 'LOC']]"
Bright Size Life '' â Pat Metheny,"[['Bright Size Life', (2935, 2937), 'ORG']]"
Vulcana ( 1875â1946 ),"[['Vulcana', (2942, 2942), 'PER']]"
Society of the Friends of Truth,[]
Indian flying frog,[]
Knightville Dam â Westfield River,"[['Knightville Dam', (2955, 2956), 'LOC']]"
Aborigines ' Protection Society,[]
MemphrÃ©magog Regional County Municipality,[]
"Since the Germans had also sentenced him to death , he decided to move to Kiev .","[['Kiev', (2983, 2983), 'LOC']]"
All three goals of the match were scored by Xherdan Shaqiri .,"[['Xherdan Shaqiri', (2994, 2995), 'PER']]"
"It is found in the Democratic Republic of Congo , Uganda and Tanzania .","[['Democratic Republic of Congo', (3002, 3005), 'ORG'], ['Uganda', (3007, 3007), 'LOC'], ['Tanzania', (3009, 3009), 'LOC']]"
' '' CBS '' ',"[['CBS', (3013, 3013), 'ORG']]"
*1951 - 1980 Sir William Rede Hawthorne,[]
"Herbert Brownell , Jr .",[]
George Caspar Adams ( 1863â1900 ),"[['George Caspar Adams', (3028, 3030), 'PER']]"
Franz von Papen,[]
"Lee Trevino won the most tournaments , six .","[['Lee Trevino', (3037, 3038), 'PER']]"
"East Brunswick , New Jersey .","[['East Brunswick , New Jersey', (3046, 3050), 'LOC']]"
Dave Righetti ( 1 ),"[['Dave Righetti', (3052, 3053), 'PER']]"
Head of government : Prime Minister of Andorra,"[['Head of government', (3057, 3059), 'PER']]"
Recorded by Fats Waller .,"[['Fats Waller', (3067, 3068), 'PER']]"
"Previously , he was head coach at Alcorn State University and an assistant coach at Tulane , Delta State , LSU , Florida , Marshall , Southern Miss , Ole Miss , Michigan , and Memphis .","[['Alcorn State University', (3077, 3079), 'ORG'], ['Tulane', (3085, 3085), 'ORG'], ['Delta State', (3087, 3088), 'ORG'], ['LSU', (3090, 3090), 'ORG'], ['Florida', (3092, 3092), 'ORG'], ['Marshall', (3094, 3094), 'ORG'], ['Southern Miss', (3096, 3097), 'ORG'], ['Ole Miss', (3099, 3100), 'ORG'], ['Michigan', (3102, 3102), 'ORG'], ['Memphis', (3105, 3105), 'LOC']]"
"Five years later , in 1939 , Edern was abolished and incorporated into Nefyn .","[['Edern', (3114, 3114), 'LOC'], ['Nefyn', (3120, 3120), 'LOC']]"
' '' Second : ' '' Kaho Onodera,[]
"Leopold , Grand Duke of Baden",[]
"Oriole Park at Camden Yards in Baltimore , Maryland , United States","[['Oriole Park at Camden Yards', (3136, 3140), 'ORG'], ['Baltimore , Maryland', (3142, 3144), 'ORG']]"
Massachusetts Route 3A,[]
Fulvio Ballabio ( 1988 ),"[['Fulvio Ballabio', (3151, 3152), 'PER']]"
Semiotic elements and classes of signs ( Peirce ),[]
"Meigs Township , Muskingum County , Ohio",[]
"He was born in Glasgow , Scotland .","[['Glasgow', (3176, 3176), 'LOC'], ['Scotland', (3178, 3178), 'LOC']]"
Gmina TarnÃ³w Opolski,[]
"HernÃ¡n CortÃ©s was his relative , whom he accompanied to Mexico ( New Spain ) in 1526 .","[['HernÃ¡n CortÃ©s', (3183, 3184), 'PER'], ['Mexico', (3193, 3193), 'LOC'], ['New Spain', (3195, 3196), 'LOC']]"
File : Tiananmen ( å¤©å®é¨ ),"[['Tiananmen', (3203, 3203), 'ORG']]"
Episode : `` It 's My Party and I 'll Lie if I Want To '',"[[""It 's My Party and I 'll Lie if I Want To"", (3210, 3221), 'ORG']]"
"He is a son of Alan Lennox-Boyd , 1st Viscount Boyd of Merton .","[['Alan Lennox-Boyd , 1st Viscount Boyd of Merton', (3228, 3235), 'PER']]"
"He died on August 25 , 1992 in Boca Raton , Florida .","[['Boca Raton , Florida', (3245, 3248), 'LOC']]"
'' Nothin ' But Trouble '' ( 1988 ),"[[""Nothin ' But Trouble"", (3251, 3254), 'LOC']]"
"Lynn Township , McLeod County , Minnesota",[]
Communes of the CÃ´te-d'Or department,[]
"He resides in Monmouth Junction , New Jersey .","[['Monmouth Junction , New Jersey', (3274, 3278), 'LOC']]"
FM Radio Gods,[]
"'' Aztec Empire '' ' â Tenoch , Great Speaker ( 1325â1376 )","[['Aztec Empire', (3284, 3285), 'LOC'], ['Tenoch', (3289, 3289), 'PER'], ['Great Speaker', (3291, 3292), 'ORG']]"
J. R. R. Tolkien,[]
' '' Speed Up '' ',"[['Speed Up', (3302, 3303), 'ORG']]"
"*36th on 10 November 2005 , Calgary CAN","[['Calgary', (3312, 3312), 'LOC']]"
"He graduated in 1970 with a Doctor of veterinary medicine degree from the Ontario Veterinary College , University of Guelph in nearby Guelph , Ontario .","[['Doctor of veterinary medicine', (3320, 3323), 'ORG'], ['Ontario Veterinary College', (3327, 3329), 'ORG'], ['University of Guelph', (3331, 3333), 'ORG'], ['Guelph', (3336, 3336), 'LOC'], ['Ontario', (3338, 3338), 'LOC']]"
Paul Tang ( 2007 ),"[['Paul Tang', (3340, 3341), 'PER']]"
Melissa Hayden ( 1945â1947 ),"[['Melissa Hayden', (3345, 3346), 'PER']]"
He is a brother of the noted pianist Chilly Gonzales .,"[['Chilly Gonzales', (3358, 3359), 'PER']]"
Peru : Peruvian Communist Party,"[['Peru', (3361, 3361), 'LOC']]"
Pat Morris ( musician ),[]
"It is found in Australia , where it has been recorded from Western Australia .","[['Australia', (3375, 3375), 'LOC'], ['Western Australia', (3383, 3384), 'LOC']]"
Waveguide ( optics ),[]
"Las Cruces , New Mexico",[]
"Radu Albot / Artem Sitak , 6â4 , 7â6 ( 7â3 )","[['Radu Albot', (3395, 3396), 'PER'], ['Artem Sitak', (3398, 3399), 'PER']]"
`` by Arthur Byron Cover,[]
'' Aletia infrargyrea '',"[['Aletia infrargyrea', (3413, 3414), 'LOC']]"
All songs composed by Leonard Bernstein and Stephen Sondheim .,"[['Leonard Bernstein', (3420, 3421), 'PER'], ['Stephen Sondheim', (3423, 3424), 'PER']]"
James H. Morrison ( D ),"[['James H. Morrison', (3426, 3428), 'PER']]"
"' '' Louisville , Kentucky '' '","[['Louisville , Kentucky', (3434, 3436), 'LOC']]"
"*10,000 m : ' '' 27:28.12 min '' ' â Neerpelt , 2 June 2007","[['Neerpelt', (3449, 3449), 'LOC']]"
"His second official victory came at 9:45am on April 21 , followed by his third on May 6 , which he shared with Ernst Leman and Alexander Kazakov .","[['Ernst Leman', (3477, 3478), 'PER'], ['Alexander Kazakov', (3480, 3481), 'PER']]"
The Dirty Dozen Brass Band,[]
MÃ¡rcio RogÃ©rio de Andrade,[]
Marshal ( Japan ),[]
Cephissus ( Athenian plain ),[]
Francis Wayland Parker,[]
'' Valsa ceratosperma '',"[['Valsa ceratosperma', (3505, 3506), 'LOC']]"
St Ann 's College,[]
`` I Promise to Wait My Love '',"[['I Promise to Wait My Love', (3513, 3518), 'ORG']]"
National Nursing Week ( United States ),"[['National Nursing Week', (3520, 3522), 'ORG'], ['United States', (3524, 3525), 'LOC']]"
"1897 : Chicago , Burlington & Quincy Railroad v. Chicago ''","[['Chicago , Burlington & Quincy Railroad v.', (3529, 3535), 'ORG'], ['Chicago', (3536, 3536), 'ORG']]"
"Hogeschool Van Hall Larenstein , Leeuwarden , Wageningen , Velp","[['Hogeschool Van Hall Larenstein', (3538, 3541), 'ORG'], ['Leeuwarden', (3543, 3543), 'LOC'], ['Wageningen', (3545, 3545), 'LOC']]"
"In 1947 , he had an interview with Will Lang Jr . of Life '' to discuss his life and his role as a receptionist .","[['Will Lang Jr .', (3556, 3559), 'ORG'], ['Life', (3561, 3561), 'ORG']]"
The Outdoor Room,[]
Hell : The Sequel '',"[['Hell : The Sequel', (3577, 3580), 'ORG']]"
"He was educated at the Community High School , Tehran and then Carlisle Technical College .","[['Community High School , Tehran', (3587, 3591), 'ORG'], ['Carlisle Technical College', (3594, 3596), 'ORG']]"
"In 1960 , he joined the U.S. Army , being stationed in Germany for three years .","[['U.S. Army', (3604, 3605), 'ORG'], ['Germany', (3610, 3610), 'LOC']]"
Beijing No.8 High School,[]
"Ashdot Ya'akov Meuhad ( 1953 ) , from Ashdot Ya'akov ( 1924 , 1933 )","[[""Ashdot Ya'akov Meuhad"", (3619, 3621), 'ORG'], [""Ashdot Ya'akov"", (3627, 3628), 'LOC']]"
Lacs de Conzieu,[]
"Monmouth , Illinois â $ 15,839","[['Monmouth , Illinois', (3637, 3639), 'LOC']]"
Eastern Anatolia Region,[]
"He died in July of 1969 in Williamsport , Pennsylvania .","[['Williamsport , Pennsylvania', (3653, 3655), 'LOC']]"
''Review : Something Better to Come '' at Slant Magazine,[]
"Returning to Norfolk , Virginia , 1 April 1946 , ''Calamares '' was decommissioned at Baltimore , Maryland , 25 April 1946 , and returned to the War Shipping Administration .","[['Norfolk , Virginia', (3669, 3671), 'LOC'], ['Baltimore , Maryland', (3682, 3684), 'ORG'], ['War Shipping Administration', (3694, 3696), 'ORG']]"
Platon ( Kulbusch ),[]
"Rangiri Dambulla International Stadium , Dambulla","[['Rangiri Dambulla International Stadium', (3702, 3705), 'ORG']]"
Southampton F.C .,[]
Chuuk flying fox,[]
"John Holles , 2nd Earl of Clare",[]
The Churches Conservation Trust now cares for the building .,"[['Churches Conservation Trust', (3722, 3724), 'ORG']]"
"They originate from South Asia , Europe , Middle East , and East Africa .","[['South Asia', (3734, 3735), 'LOC'], ['Europe', (3737, 3737), 'LOC'], ['Middle East', (3739, 3740), 'LOC'], ['East Africa', (3743, 3744), 'LOC']]"
Growing Up ( The T.G.I.S. Primetime ),[]
"Following its sale by the New Zealand Railways Corporation in the 1990s , the building was turned into student accommodation by Auckland University and since 2008 has been occupied by private apartments .","[['New Zealand Railways Corporation', (3758, 3761), 'ORG'], ['Auckland University', (3774, 3775), 'ORG']]"
' '' With Chet Baker '' ',"[['Chet Baker', (3789, 3790), 'PER']]"
"ÃÄ±raqlÄ± , Lachin",[]
"SaÄkaya , Ceyhan",[]
He is from Andhra Pradesh in South India .,"[['Andhra Pradesh', (3802, 3803), 'LOC'], ['South India', (3805, 3806), 'LOC']]"
53d Wing ( 53 WG ),"[['53d Wing', (3808, 3809), 'ORG']]"
Oda Station ( Shimane ) ( å°ç°é§ ),"[['Oda Station ( Shimane )', (3814, 3818), 'ORG']]"
Tales from Turnpike House '',"[['Tales from Turnpike House', (3822, 3825), 'ORG']]"
AboudeÃ¯a â Salamat Region,"[['AboudeÃ¯a', (3827, 3827), 'ORG']]"
Gibaeksan ( South Gyeongsang ),[]
Rufus Choate ( W-MA ),"[['Rufus Choate', (3836, 3837), 'PER']]"
' '' Tony Albright '' ',"[['Tony Albright', (3843, 3844), 'PER']]"
Live - `` Run to the Water '',"[['Live', (3847, 3847), 'ORG'], ['Run to the Water', (3850, 3853), 'ORG']]"
"Kunio Maekawa , architect","[['Kunio Maekawa', (3855, 3856), 'PER']]"
'' Kingdom of Scotland '' ' â William the Lion ( 1165â1214 ),"[['Kingdom of Scotland', (3860, 3862), 'LOC'], ['William the Lion', (3866, 3868), 'PER']]"
2008 : Janusz Morgenstern,[]
'' Platanthera bifolia '',"[['Platanthera bifolia', (3877, 3878), 'LOC']]"
"He spent much of his career with Swindon Town , for whom he played in the Premier League .","[['Swindon Town', (3887, 3888), 'ORG'], ['Premier League', (3896, 3897), 'ORG']]"
"The Eastwood Westminster constituency was created in 1983 , and the Eastwood Holyrood constituency , with the same boundaries , in 1999 .","[['Eastwood Westminster constituency', (3900, 3902), 'ORG'], ['Eastwood Holyrood constituency', (3910, 3912), 'ORG']]"
UEFA Women 's Euro 2013,[]
"It then followed the Williamson and Sprague Rivers , claiming large parts of the Klamath Indian Reservation .","[['Williamson', (3931, 3931), 'LOC'], ['Sprague Rivers', (3933, 3934), 'LOC'], ['Klamath Indian Reservation', (3941, 3943), 'ORG']]"
MumbaiâAhmedabad high-speed rail corridor,[]
'' Toulouse '' ',"[['Toulouse', (3950, 3950), 'LOC']]"
"Rupert Hamer , LL.M. , MLC","[['Rupert Hamer', (3953, 3954), 'PER']]"
Ka-Zar '' vol .,"[['Ka-Zar', (3959, 3959), 'PER']]"
Masters of Darts ( 1 ),"[['Masters of Darts', (3963, 3965), 'PER']]"
"Time Stays , We Go ''","[['Time Stays , We Go', (3969, 3973), 'ORG']]"
Listed buildings in Crawley,[]
Michel-Ange Duquesne de Menneville ( 1752â1755 ),"[['Michel-Ange Duquesne de Menneville', (3979, 3982), 'PER']]"
PoÅÃ­ÄÃ­ nad SÃ¡zavou,[]
"'' Celaenorrhinus homeyeri '' ( PlÃ¶tz , 1880 )","[['Celaenorrhinus homeyeri', (3990, 3991), 'LOC']]"
J. J. Johnson and Kai Winding,"[['J.', (3998, 3998), 'PER'], ['J. Johnson', (3999, 4000), 'PER']]"
"Francisco del Rosario SÃ¡nchez , Juan Pablo Duarte and MatÃ­as RamÃ³n Mella","[['Francisco del Rosario SÃ¡nchez', (4004, 4007), 'PER'], ['Juan Pablo Duarte', (4009, 4011), 'PER']]"
"Rupert Young as Sir William Herbert , Lord Pembroke","[['Rupert Young', (4016, 4017), 'PER']]"
"Black-bellied plover , ''Pluvialis squatarola ''","[['Black-bellied plover', (4025, 4026), 'ORG']]"
He is a goalkeeper for Lech PoznaÅ .,"[['goalkeeper', (4034, 4034), 'PER'], ['Lech PoznaÅ\x84', (4036, 4037), 'ORG']]"
Tony Shaw took a leadership role in the forwards playing in nineteen matches and was the only back-rower to play in all Tests .,"[['Tony Shaw', (4039, 4040), 'ORG']]"
"Thomas Hardeman , Jr . ( D )","[['Thomas Hardeman , Jr .', (4063, 4067), 'PER']]"
"He played at Modesto Junior College in Modesto , California .","[['Modesto Junior College', (4074, 4076), 'ORG'], ['Modesto , California', (4078, 4080), 'LOC']]"
Johannes V. Jensen,[]
Sean Paul Lockhart,[]
"Montreal West , Quebec",[]
VÄn LÃ£ng District,[]
